Godot Engine v4.6.2.stable.mono.official.71f334935 - https://godotengine.org

[   0% ] first_scan_filesystem | Started Project initialization (5 steps)
[   0% ] first_scan_filesystem | Scanning file structure...
[  16% ] first_scan_filesystem | Loading global class names...
[  33% ] first_scan_filesystem | Verifying GDExtensions...
[  50% ] first_scan_filesystem | Creating autoload scripts...
[  66% ] first_scan_filesystem | Initializing plugins...
[  83% ] first_scan_filesystem | Starting file scan...
[ DONE ] first_scan_filesystem

[   0% ] update_scripts_classes | Started Registering global classes... (2 steps)
[   0% ] update_scripts_classes | 
[  33% ] update_scripts_classes | 
[ DONE ] update_scripts_classes

[   0% ] _update_scan_actions | Started Scanning actions... (75 steps)
[   0% ] _update_scan_actions | attack_1.png
[   1% ] _update_scan_actions | attack_2.png
[   2% ] _update_scan_actions | attack_3.png
[   3% ] _update_scan_actions | attack_4.png
[   5% ] _update_scan_actions | attack_5.png
[   6% ] _update_scan_actions | attack_6.png
[   7% ] _update_scan_actions | base.png
[   9% ] _update_scan_actions | idle_1.png
[  10% ] _update_scan_actions | idle_2.png
[  11% ] _update_scan_actions | idle_3.png
[  13% ] _update_scan_actions | idle_4.png
[  14% ] _update_scan_actions | idle_5.png
[  15% ] _update_scan_actions | attack_1.png
[  17% ] _update_scan_actions | attack_2.png
[  18% ] _update_scan_actions | attack_3.png
[  19% ] _update_scan_actions | attack_4.png
[  21% ] _update_scan_actions | attack_5.png
[  22% ] _update_scan_actions | attack_6.png
[  23% ] _update_scan_actions | base.png
[  25% ] _update_scan_actions | idle_1.png
[  26% ] _update_scan_actions | idle_2.png
[  27% ] _update_scan_actions | idle_3.png
[  28% ] _update_scan_actions | idle_4.png
[  30% ] _update_scan_actions | idle_5.png
[  31% ] _update_scan_actions | attack_1.png
[  32% ] _update_scan_actions | attack_2.png
[  34% ] _update_scan_actions | attack_3.png
[  35% ] _update_scan_actions | attack_4.png
[  36% ] _update_scan_actions | attack_5.png
[  38% ] _update_scan_actions | attack_6.png
[  39% ] _update_scan_actions | base.png
[  40% ] _update_scan_actions | idle_1.png
[  42% ] _update_scan_actions | idle_2.png
[  43% ] _update_scan_actions | idle_3.png
[  44% ] _update_scan_actions | idle_4.png
[  46% ] _update_scan_actions | idle_5.png
[  47% ] _update_scan_actions | attack-frames-4x.png
[  48% ] _update_scan_actions | attack_1.png
[  50% ] _update_scan_actions | attack_2.png
[  51% ] _update_scan_actions | attack_3.png
[  52% ] _update_scan_actions | attack_4.png
[  53% ] _update_scan_actions | attack_5.png
[  55% ] _update_scan_actions | attack_6.png
[  56% ] _update_scan_actions | idle-frames-4x.png
[  57% ] _update_scan_actions | idle_1.png
[  59% ] _update_scan_actions | idle_2.png
[  60% ] _update_scan_actions | idle_3.png
[  61% ] _update_scan_actions | idle_4.png
[  63% ] _update_scan_actions | idle_5.png
[  64% ] _update_scan_actions | attack-frames-4x.png
[  65% ] _update_scan_actions | attack_1.png
[  67% ] _update_scan_actions | attack_2.png
[  68% ] _update_scan_actions | attack_3.png
[  69% ] _update_scan_actions | attack_4.png
[  71% ] _update_scan_actions | attack_5.png
[  72% ] _update_scan_actions | attack_6.png
[  73% ] _update_scan_actions | idle-frames-4x.png
[  75% ] _update_scan_actions | idle_1.png
[  76% ] _update_scan_actions | idle_2.png
[  77% ] _update_scan_actions | idle_3.png
[  78% ] _update_scan_actions | idle_4.png
[  80% ] _update_scan_actions | idle_5.png
[  81% ] _update_scan_actions | attack-frames-4x.png
[  82% ] _update_scan_actions | attack_1.png
[  84% ] _update_scan_actions | attack_2.png
[  85% ] _update_scan_actions | attack_3.png
[  86% ] _update_scan_actions | attack_4.png
[  88% ] _update_scan_actions | attack_5.png
[  89% ] _update_scan_actions | attack_6.png
[  90% ] _update_scan_actions | idle-frames-4x.png
[  92% ] _update_scan_actions | idle_1.png
[  93% ] _update_scan_actions | idle_2.png
[  94% ] _update_scan_actions | idle_3.png
[  96% ] _update_scan_actions | idle_4.png
[  97% ] _update_scan_actions | idle_5.png
[ DONE ] _update_scan_actions

[   0% ] reimport | Started (Re)Importing Assets (39 steps)
[   0% ] reimport | Preparing files to reimport...
[   2% ] reimport | Preparing files to reimport...
[   5% ] reimport | Preparing files to reimport...
[   7% ] reimport | Preparing files to reimport...
[  10% ] reimport | Preparing files to reimport...
[  12% ] reimport | Preparing files to reimport...
[  15% ] reimport | Preparing files to reimport...
[  17% ] reimport | Preparing files to reimport...
[  20% ] reimport | Preparing files to reimport...
[  22% ] reimport | Preparing files to reimport...
[  25% ] reimport | Preparing files to reimport...
[  27% ] reimport | Preparing files to reimport...
[  30% ] reimport | Preparing files to reimport...
[  32% ] reimport | Preparing files to reimport...
[  35% ] reimport | Preparing files to reimport...
[  37% ] reimport | Preparing files to reimport...
[  40% ] reimport | Preparing files to reimport...
[  42% ] reimport | Preparing files to reimport...
[  45% ] reimport | Preparing files to reimport...
[  47% ] reimport | Preparing files to reimport...
[  50% ] reimport | Preparing files to reimport...
[  52% ] reimport | Preparing files to reimport...
[  55% ] reimport | Preparing files to reimport...
[  57% ] reimport | Preparing files to reimport...
[  60% ] reimport | Preparing files to reimport...
[  62% ] reimport | Preparing files to reimport...
[  65% ] reimport | Preparing files to reimport...
[  67% ] reimport | Preparing files to reimport...
[  70% ] reimport | Preparing files to reimport...
[  72% ] reimport | Preparing files to reimport...
[  75% ] reimport | Preparing files to reimport...
[  77% ] reimport | Preparing files to reimport...
[  80% ] reimport | Preparing files to reimport...
[  82% ] reimport | Preparing files to reimport...
[  85% ] reimport | Preparing files to reimport...
[  87% ] reimport | Preparing files to reimport...
[  90% ] reimport | Preparing files to reimport...
[  92% ] reimport | Preparing files to reimport...
[  95% ] reimport | Preparing files to reimport...
[   0% ] reimport | Executing pre-reimport operations...
[   0% ] reimport | attack_2.png
[   2% ] reimport | attack_3.png
[   5% ] reimport | attack_4.png
[   7% ] reimport | attack_5.png
[  10% ] reimport | attack_6.png
[  12% ] reimport | attack-frames-4x.png
[  15% ] reimport | attack_1.png
[  17% ] reimport | attack_2.png
[  20% ] reimport | attack_3.png
[  22% ] reimport | attack_4.png
[  25% ] reimport | attack_5.png
[  27% ] reimport | attack_6.png
[  30% ] reimport | attack-frames-4x.png
[  32% ] reimport | attack_1.png
[  35% ] reimport | attack_2.png
[  37% ] reimport | attack_3.png
[  40% ] reimport | attack_4.png
[  42% ] reimport | attack_5.png
[  45% ] reimport | attack_6.png
[  47% ] reimport | attack_1.png
[  50% ] reimport | attack_2.png
[  52% ] reimport | attack_3.png
[  55% ] reimport | attack_4.png
[  57% ] reimport | attack_5.png
[  60% ] reimport | attack_6.png
[  62% ] reimport | attack_1.png
[  65% ] reimport | attack_2.png
[  67% ] reimport | attack_3.png
[  70% ] reimport | attack_4.png
[  72% ] reimport | attack_5.png
[  75% ] reimport | attack_6.png
[  77% ] reimport | attack_1.png
[  80% ] reimport | attack_2.png
[  82% ] reimport | attack_3.png
[  85% ] reimport | attack_4.png
[  87% ] reimport | attack_5.png
[  90% ] reimport | attack_6.png
[  92% ] reimport | attack-frames-4x.png
[  95% ] reimport | attack_1.png
[  97% ] reimport | Finalizing Asset Import...
[ DONE ] reimport

[   0% ] reimport | Started (Re)Importing Assets (39 steps)
[   0% ] reimport | Executing post-reimport operations...
[ DONE ] reimport

[   0% ] loading_editor_layout | Started Loading editor (5 steps)
[   0% ] loading_editor_layout | Loading editor layout...
[  16% ] loading_editor_layout | Loading docks...
[  33% ] loading_editor_layout | Reopening scenes...
[  50% ] loading_editor_layout | Loading central editor layout...
[  66% ] loading_editor_layout | Loading plugin window layout...
[  83% ] loading_editor_layout | Editor layout ready.
[ DONE ] loading_editor_layout

