Godot Engine v4.6.2.stable.mono.official.71f334935 - https://godotengine.org

[   0% ] first_scan_filesystem | Started Project initialization (5 steps)
[   0% ] first_scan_filesystem | Scanning file structure...
[  16% ] first_scan_filesystem | Loading global class names...
[  33% ] first_scan_filesystem | Verifying GDExtensions...
[  50% ] first_scan_filesystem | Creating autoload scripts...
[  66% ] first_scan_filesystem | Initializing plugins...
[  83% ] first_scan_filesystem | Starting file scan...
[ DONE ] first_scan_filesystem

[   0% ] _update_scan_actions | Started Scanning actions... (88 steps)
[   0% ] _update_scan_actions | attack_1.png
[   1% ] _update_scan_actions | attack_2.png
[   2% ] _update_scan_actions | attack_3.png
[   3% ] _update_scan_actions | attack_4.png
[   4% ] _update_scan_actions | attack_5.png
[   5% ] _update_scan_actions | attack_6.png
[   6% ] _update_scan_actions | base.png
[   7% ] _update_scan_actions | idle_1.png
[   8% ] _update_scan_actions | idle_2.png
[  10% ] _update_scan_actions | idle_3.png
[  11% ] _update_scan_actions | idle_4.png
[  12% ] _update_scan_actions | idle_5.png
[  13% ] _update_scan_actions | attack_1.png
[  14% ] _update_scan_actions | attack_2.png
[  15% ] _update_scan_actions | attack_3.png
[  16% ] _update_scan_actions | attack_4.png
[  17% ] _update_scan_actions | attack_5.png
[  19% ] _update_scan_actions | attack_6.png
[  20% ] _update_scan_actions | base.png
[  21% ] _update_scan_actions | idle_1.png
[  22% ] _update_scan_actions | idle_2.png
[  23% ] _update_scan_actions | idle_3.png
[  24% ] _update_scan_actions | idle_4.png
[  25% ] _update_scan_actions | idle_5.png
[  26% ] _update_scan_actions | attack_1.png
[  28% ] _update_scan_actions | attack_2.png
[  29% ] _update_scan_actions | attack_3.png
[  30% ] _update_scan_actions | attack_4.png
[  31% ] _update_scan_actions | attack_5.png
[  32% ] _update_scan_actions | attack_6.png
[  33% ] _update_scan_actions | base.png
[  34% ] _update_scan_actions | idle_1.png
[  35% ] _update_scan_actions | idle_2.png
[  37% ] _update_scan_actions | idle_3.png
[  38% ] _update_scan_actions | idle_4.png
[  39% ] _update_scan_actions | idle_5.png
[  40% ] _update_scan_actions | attack_1.png
[  41% ] _update_scan_actions | attack_2.png
[  42% ] _update_scan_actions | attack_3.png
[  43% ] _update_scan_actions | attack_4.png
[  44% ] _update_scan_actions | attack_5.png
[  46% ] _update_scan_actions | attack_6.png
[  47% ] _update_scan_actions | base.png
[  48% ] _update_scan_actions | idle_1.png
[  49% ] _update_scan_actions | idle_2.png
[  50% ] _update_scan_actions | idle_3.png
[  51% ] _update_scan_actions | idle_4.png
[  52% ] _update_scan_actions | idle_5.png
[  53% ] _update_scan_actions | attack_1.png
[  55% ] _update_scan_actions | attack_2.png
[  56% ] _update_scan_actions | attack_3.png
[  57% ] _update_scan_actions | attack_4.png
[  58% ] _update_scan_actions | attack_5.png
[  59% ] _update_scan_actions | attack_6.png
[  60% ] _update_scan_actions | base.png
[  61% ] _update_scan_actions | idle_1.png
[  62% ] _update_scan_actions | idle_2.png
[  64% ] _update_scan_actions | idle_3.png
[  65% ] _update_scan_actions | idle_4.png
[  66% ] _update_scan_actions | idle_5.png
[  67% ] _update_scan_actions | attack_1.png
[  68% ] _update_scan_actions | attack_2.png
[  69% ] _update_scan_actions | attack_3.png
[  70% ] _update_scan_actions | attack_4.png
[  71% ] _update_scan_actions | attack_5.png
[  73% ] _update_scan_actions | attack_6.png
[  74% ] _update_scan_actions | base.png
[  75% ] _update_scan_actions | idle_1.png
[  76% ] _update_scan_actions | idle_2.png
[  77% ] _update_scan_actions | idle_3.png
[  78% ] _update_scan_actions | idle_4.png
[  79% ] _update_scan_actions | idle_5.png
[  80% ] _update_scan_actions | attack-frames-4x.png
[  82% ] _update_scan_actions | attack_1.png
[  83% ] _update_scan_actions | attack_2.png
[  84% ] _update_scan_actions | attack_3.png
[  85% ] _update_scan_actions | attack_4.png
[  86% ] _update_scan_actions | attack_5.png
[  87% ] _update_scan_actions | attack_6.png
[  88% ] _update_scan_actions | boar-base-8x.png
[  89% ] _update_scan_actions | boar-base.png
[  91% ] _update_scan_actions | idle-frames-4x.png
[  92% ] _update_scan_actions | idle_1.png
[  93% ] _update_scan_actions | idle_2.png
[  94% ] _update_scan_actions | idle_3.png
[  95% ] _update_scan_actions | idle_4.png
[  96% ] _update_scan_actions | idle_5.png
[  97% ] _update_scan_actions | reference-lineup-4x.png
[ DONE ] _update_scan_actions

[   0% ] reimport | Started (Re)Importing Assets (9 steps)
[   0% ] reimport | Preparing files to reimport...
[  10% ] reimport | Preparing files to reimport...
[  20% ] reimport | Preparing files to reimport...
[  30% ] reimport | Preparing files to reimport...
[  40% ] reimport | Preparing files to reimport...
[  50% ] reimport | Preparing files to reimport...
[  60% ] reimport | Preparing files to reimport...
[  70% ] reimport | Preparing files to reimport...
[  80% ] reimport | Preparing files to reimport...
[   0% ] reimport | Executing pre-reimport operations...
[   0% ] reimport | attack_1.png
[  10% ] reimport | attack_2.png
[  20% ] reimport | attack_3.png
[  30% ] reimport | attack_4.png
[  40% ] reimport | attack-frames-4x.png
[  50% ] reimport | attack_1.png
[  60% ] reimport | attack_2.png
[  70% ] reimport | attack_3.png
[  80% ] reimport | attack_4.png
[  90% ] reimport | Finalizing Asset Import...
[ DONE ] reimport

[   0% ] reimport | Started (Re)Importing Assets (9 steps)
[   0% ] reimport | Executing post-reimport operations...
[ DONE ] reimport

[   0% ] loading_editor_layout | Started Loading editor (5 steps)
[   0% ] loading_editor_layout | Loading editor layout...
[  16% ] loading_editor_layout | Loading docks...
[  33% ] loading_editor_layout | Reopening scenes...
[  50% ] loading_editor_layout | Loading central editor layout...
[  66% ] loading_editor_layout | Loading plugin window layout...
[  83% ] loading_editor_layout | Editor layout ready.
[ DONE ] loading_editor_layout

