Godot Engine v4.6.2.stable.mono.official.71f334935 - https://godotengine.org

[   0% ] first_scan_filesystem | Started Project initialization (5 steps)
[   0% ] first_scan_filesystem | Scanning file structure...
[  16% ] first_scan_filesystem | Loading global class names...
[  33% ] first_scan_filesystem | Verifying GDExtensions...
[  50% ] first_scan_filesystem | Creating autoload scripts...
[  66% ] first_scan_filesystem | Initializing plugins...
[  83% ] first_scan_filesystem | Starting file scan...
[ DONE ] first_scan_filesystem

[   0% ] _update_scan_actions | Started Scanning actions... (37 steps)
[   0% ] _update_scan_actions | base.png
[   2% ] _update_scan_actions | idle_1.png
[   5% ] _update_scan_actions | idle_2.png
[   7% ] _update_scan_actions | idle_3.png
[  10% ] _update_scan_actions | idle_4.png
[  13% ] _update_scan_actions | idle_5.png
[  15% ] _update_scan_actions | base.png
[  18% ] _update_scan_actions | idle_1.png
[  21% ] _update_scan_actions | idle_2.png
[  23% ] _update_scan_actions | idle_3.png
[  26% ] _update_scan_actions | idle_4.png
[  28% ] _update_scan_actions | idle_5.png
[  31% ] _update_scan_actions | base.png
[  34% ] _update_scan_actions | idle_1.png
[  36% ] _update_scan_actions | idle_2.png
[  39% ] _update_scan_actions | idle_3.png
[  42% ] _update_scan_actions | idle_4.png
[  44% ] _update_scan_actions | idle_5.png
[  47% ] _update_scan_actions | idle-frames-4x.png
[  50% ] _update_scan_actions | idle_1.png
[  52% ] _update_scan_actions | idle_2.png
[  55% ] _update_scan_actions | idle_3.png
[  57% ] _update_scan_actions | idle_4.png
[  60% ] _update_scan_actions | idle_5.png
[  63% ] _update_scan_actions | idle-frames-4x.png
[  65% ] _update_scan_actions | idle_1.png
[  68% ] _update_scan_actions | idle_2.png
[  71% ] _update_scan_actions | idle_3.png
[  73% ] _update_scan_actions | idle_4.png
[  76% ] _update_scan_actions | idle_5.png
[  78% ] _update_scan_actions | idle-before.png
[  81% ] _update_scan_actions | idle-frames-4x.png
[  84% ] _update_scan_actions | idle_1.png
[  86% ] _update_scan_actions | idle_2.png
[  89% ] _update_scan_actions | idle_3.png
[  92% ] _update_scan_actions | idle_4.png
[  94% ] _update_scan_actions | idle_5.png
[ DONE ] _update_scan_actions

[   0% ] reimport | Started (Re)Importing Assets (34 steps)
[   0% ] reimport | Preparing files to reimport...
[   2% ] reimport | Preparing files to reimport...
[   5% ] reimport | Preparing files to reimport...
[   8% ] reimport | Preparing files to reimport...
[  11% ] reimport | Preparing files to reimport...
[  14% ] reimport | Preparing files to reimport...
[  17% ] reimport | Preparing files to reimport...
[  20% ] reimport | Preparing files to reimport...
[  22% ] reimport | Preparing files to reimport...
[  25% ] reimport | Preparing files to reimport...
[  28% ] reimport | Preparing files to reimport...
[  31% ] reimport | Preparing files to reimport...
[  34% ] reimport | Preparing files to reimport...
[  37% ] reimport | Preparing files to reimport...
[  40% ] reimport | Preparing files to reimport...
[  42% ] reimport | Preparing files to reimport...
[  45% ] reimport | Preparing files to reimport...
[  48% ] reimport | Preparing files to reimport...
[  51% ] reimport | Preparing files to reimport...
[  54% ] reimport | Preparing files to reimport...
[  57% ] reimport | Preparing files to reimport...
[  60% ] reimport | Preparing files to reimport...
[  62% ] reimport | Preparing files to reimport...
[  65% ] reimport | Preparing files to reimport...
[  68% ] reimport | Preparing files to reimport...
[  71% ] reimport | Preparing files to reimport...
[  74% ] reimport | Preparing files to reimport...
[  77% ] reimport | Preparing files to reimport...
[  80% ] reimport | Preparing files to reimport...
[  82% ] reimport | Preparing files to reimport...
[  85% ] reimport | Preparing files to reimport...
[  88% ] reimport | Preparing files to reimport...
[  91% ] reimport | Preparing files to reimport...
[  94% ] reimport | Preparing files to reimport...
[   0% ] reimport | Executing pre-reimport operations...
[   0% ] reimport | idle_2.png
[   2% ] reimport | idle_3.png
[   5% ] reimport | idle_4.png
[   8% ] reimport | idle_5.png
[  11% ] reimport | idle-frames-4x.png
[  14% ] reimport | idle_1.png
[  17% ] reimport | idle_2.png
[  20% ] reimport | idle_3.png
[  22% ] reimport | idle_4.png
[  25% ] reimport | idle_5.png
[  28% ] reimport | idle-before.png
[  31% ] reimport | idle-frames-4x.png
[  34% ] reimport | idle_1.png
[  37% ] reimport | idle_2.png
[  40% ] reimport | idle_3.png
[  42% ] reimport | idle_4.png
[  45% ] reimport | idle_5.png
[  48% ] reimport | idle_1.png
[  51% ] reimport | idle_2.png
[  54% ] reimport | idle_3.png
[  57% ] reimport | idle_4.png
[  60% ] reimport | idle_5.png
[  62% ] reimport | idle_1.png
[  65% ] reimport | idle_2.png
[  68% ] reimport | idle_3.png
[  71% ] reimport | idle_4.png
[  74% ] reimport | idle_5.png
[  77% ] reimport | idle_1.png
[  80% ] reimport | idle_2.png
[  82% ] reimport | idle_3.png
[  85% ] reimport | idle_4.png
[  88% ] reimport | idle_5.png
[  91% ] reimport | idle-frames-4x.png
[  94% ] reimport | idle_1.png
[  97% ] reimport | Finalizing Asset Import...
[ DONE ] reimport

[   0% ] reimport | Started (Re)Importing Assets (34 steps)
[   0% ] reimport | Executing post-reimport operations...
[ DONE ] reimport

[   0% ] loading_editor_layout | Started Loading editor (5 steps)
[   0% ] loading_editor_layout | Loading editor layout...
[  16% ] loading_editor_layout | Loading docks...
[  33% ] loading_editor_layout | Reopening scenes...
[  50% ] loading_editor_layout | Loading central editor layout...
[  66% ] loading_editor_layout | Loading plugin window layout...
[  83% ] loading_editor_layout | Editor layout ready.
[ DONE ] loading_editor_layout

