Godot Engine v4.6.2.stable.mono.official.71f334935 - https://godotengine.org

[   0% ] first_scan_filesystem | Started Project initialization (5 steps)
[   0% ] first_scan_filesystem | Scanning file structure...
[  16% ] first_scan_filesystem | Loading global class names...
[  33% ] first_scan_filesystem | Verifying GDExtensions...
[  50% ] first_scan_filesystem | Creating autoload scripts...
[  66% ] first_scan_filesystem | Initializing plugins...
[  83% ] first_scan_filesystem | Starting file scan...
[ DONE ] first_scan_filesystem

[   0% ] _update_scan_actions | Started Scanning actions... (62 steps)
[   0% ] _update_scan_actions | attack_1.png
[   1% ] _update_scan_actions | attack_2.png
[   3% ] _update_scan_actions | attack_3.png
[   4% ] _update_scan_actions | attack_4.png
[   6% ] _update_scan_actions | attack_5.png
[   7% ] _update_scan_actions | attack_6.png
[   9% ] _update_scan_actions | attack_1.png
[  11% ] _update_scan_actions | attack_2.png
[  12% ] _update_scan_actions | attack_3.png
[  14% ] _update_scan_actions | attack_4.png
[  15% ] _update_scan_actions | attack_5.png
[  17% ] _update_scan_actions | attack_6.png
[  19% ] _update_scan_actions | attack_1.png
[  20% ] _update_scan_actions | attack_2.png
[  22% ] _update_scan_actions | attack_3.png
[  23% ] _update_scan_actions | attack_4.png
[  25% ] _update_scan_actions | attack_5.png
[  26% ] _update_scan_actions | attack_6.png
[  28% ] _update_scan_actions | attack-frames-4x.png
[  30% ] _update_scan_actions | attack_1.png
[  31% ] _update_scan_actions | attack_2.png
[  33% ] _update_scan_actions | attack_3.png
[  34% ] _update_scan_actions | attack_4.png
[  36% ] _update_scan_actions | attack_5.png
[  38% ] _update_scan_actions | attack_6.png
[  39% ] _update_scan_actions | attack-frames-4x.png
[  41% ] _update_scan_actions | attack-underbody-4x.png
[  42% ] _update_scan_actions | attack_1.png
[  44% ] _update_scan_actions | attack_2.png
[  46% ] _update_scan_actions | attack_3.png
[  47% ] _update_scan_actions | attack_4.png
[  49% ] _update_scan_actions | attack_5.png
[  50% ] _update_scan_actions | attack_6.png
[  52% ] _update_scan_actions | attack-frames-4x.png
[  53% ] _update_scan_actions | attack_1.png
[  55% ] _update_scan_actions | attack_2.png
[  57% ] _update_scan_actions | attack_3.png
[  58% ] _update_scan_actions | attack_4.png
[  60% ] _update_scan_actions | attack_5.png
[  61% ] _update_scan_actions | attack_6.png
[  63% ] _update_scan_actions | attack-frames-4x.png
[  65% ] _update_scan_actions | attack-underbody-4x.png
[  66% ] _update_scan_actions | attack_1.png
[  68% ] _update_scan_actions | attack_2.png
[  69% ] _update_scan_actions | attack_3.png
[  71% ] _update_scan_actions | attack_4.png
[  73% ] _update_scan_actions | attack_5.png
[  74% ] _update_scan_actions | attack_6.png
[  76% ] _update_scan_actions | attack-frames-4x.png
[  77% ] _update_scan_actions | attack_1.png
[  79% ] _update_scan_actions | attack_2.png
[  80% ] _update_scan_actions | attack_3.png
[  82% ] _update_scan_actions | attack_4.png
[  84% ] _update_scan_actions | attack_5.png
[  85% ] _update_scan_actions | attack_6.png
[  87% ] _update_scan_actions | attack-frames-4x.png
[  88% ] _update_scan_actions | attack_1.png
[  90% ] _update_scan_actions | attack_2.png
[  92% ] _update_scan_actions | attack_3.png
[  93% ] _update_scan_actions | attack_4.png
[  95% ] _update_scan_actions | attack_5.png
[  96% ] _update_scan_actions | attack_6.png
[ DONE ] _update_scan_actions

[   0% ] reimport | Started (Re)Importing Assets (43 steps)
[   0% ] reimport | Preparing files to reimport...
[   2% ] reimport | Preparing files to reimport...
[   4% ] reimport | Preparing files to reimport...
[   6% ] reimport | Preparing files to reimport...
[   9% ] reimport | Preparing files to reimport...
[  11% ] reimport | Preparing files to reimport...
[  13% ] reimport | Preparing files to reimport...
[  15% ] reimport | Preparing files to reimport...
[  18% ] reimport | Preparing files to reimport...
[  20% ] reimport | Preparing files to reimport...
[  22% ] reimport | Preparing files to reimport...
[  25% ] reimport | Preparing files to reimport...
[  27% ] reimport | Preparing files to reimport...
[  29% ] reimport | Preparing files to reimport...
[  31% ] reimport | Preparing files to reimport...
[  34% ] reimport | Preparing files to reimport...
[  36% ] reimport | Preparing files to reimport...
[  38% ] reimport | Preparing files to reimport...
[  40% ] reimport | Preparing files to reimport...
[  43% ] reimport | Preparing files to reimport...
[  45% ] reimport | Preparing files to reimport...
[  47% ] reimport | Preparing files to reimport...
[  50% ] reimport | Preparing files to reimport...
[  52% ] reimport | Preparing files to reimport...
[  54% ] reimport | Preparing files to reimport...
[  56% ] reimport | Preparing files to reimport...
[  59% ] reimport | Preparing files to reimport...
[  61% ] reimport | Preparing files to reimport...
[  63% ] reimport | Preparing files to reimport...
[  65% ] reimport | Preparing files to reimport...
[  68% ] reimport | Preparing files to reimport...
[  70% ] reimport | Preparing files to reimport...
[  72% ] reimport | Preparing files to reimport...
[  75% ] reimport | Preparing files to reimport...
[  77% ] reimport | Preparing files to reimport...
[  79% ] reimport | Preparing files to reimport...
[  81% ] reimport | Preparing files to reimport...
[  84% ] reimport | Preparing files to reimport...
[  86% ] reimport | Preparing files to reimport...
[  88% ] reimport | Preparing files to reimport...
[  90% ] reimport | Preparing files to reimport...
[  93% ] reimport | Preparing files to reimport...
[  95% ] reimport | Preparing files to reimport...
[   0% ] reimport | Executing pre-reimport operations...
[   0% ] reimport | attack-frames-4x.png
[   2% ] reimport | attack_1.png
[   4% ] reimport | attack_2.png
[   6% ] reimport | attack_3.png
[   9% ] reimport | attack_4.png
[  11% ] reimport | attack_5.png
[  13% ] reimport | attack_6.png
[  15% ] reimport | attack-frames-4x.png
[  18% ] reimport | attack-underbody-4x.png
[  20% ] reimport | attack_1.png
[  22% ] reimport | attack_2.png
[  25% ] reimport | attack_3.png
[  27% ] reimport | attack_4.png
[  29% ] reimport | attack_5.png
[  31% ] reimport | attack-frames-4x.png
[  34% ] reimport | attack_1.png
[  36% ] reimport | attack_2.png
[  38% ] reimport | attack_3.png
[  40% ] reimport | attack_4.png
[  43% ] reimport | attack_5.png
[  45% ] reimport | attack_6.png
[  47% ] reimport | attack_1.png
[  50% ] reimport | attack_2.png
[  52% ] reimport | attack_3.png
[  54% ] reimport | attack_4.png
[  56% ] reimport | attack_1.png
[  59% ] reimport | attack_2.png
[  61% ] reimport | attack_3.png
[  63% ] reimport | attack_4.png
[  65% ] reimport | attack_5.png
[  68% ] reimport | attack-frames-4x.png
[  70% ] reimport | attack_1.png
[  72% ] reimport | attack_2.png
[  75% ] reimport | attack_3.png
[  77% ] reimport | attack_4.png
[  79% ] reimport | attack_5.png
[  81% ] reimport | attack_6.png
[  84% ] reimport | attack-frames-4x.png
[  86% ] reimport | attack-underbody-4x.png
[  88% ] reimport | attack_1.png
[  90% ] reimport | attack_2.png
[  93% ] reimport | attack_3.png
[  95% ] reimport | attack_4.png
[  97% ] reimport | Finalizing Asset Import...
[ DONE ] reimport

[   0% ] reimport | Started (Re)Importing Assets (43 steps)
[   0% ] reimport | Executing post-reimport operations...
[ DONE ] reimport

[   0% ] loading_editor_layout | Started Loading editor (5 steps)
[   0% ] loading_editor_layout | Loading editor layout...
[  16% ] loading_editor_layout | Loading docks...
[  33% ] loading_editor_layout | Reopening scenes...
[  50% ] loading_editor_layout | Loading central editor layout...
[  66% ] loading_editor_layout | Loading plugin window layout...
[  83% ] loading_editor_layout | Editor layout ready.
[ DONE ] loading_editor_layout

