Godot Engine v4.6.2.stable.mono.official.71f334935 - https://godotengine.org

[   0% ] first_scan_filesystem | Started Project initialization (5 steps)
[   0% ] first_scan_filesystem | Scanning file structure...
[  16% ] first_scan_filesystem | Loading global class names...
[  33% ] first_scan_filesystem | Verifying GDExtensions...
[  50% ] first_scan_filesystem | Creating autoload scripts...
[  66% ] first_scan_filesystem | Initializing plugins...
[  83% ] first_scan_filesystem | Starting file scan...
[ DONE ] first_scan_filesystem

[   0% ] _update_scan_actions | Started Scanning actions... (42 steps)
[   0% ] _update_scan_actions | attack_1.png
[   2% ] _update_scan_actions | attack_2.png
[   4% ] _update_scan_actions | attack_3.png
[   6% ] _update_scan_actions | attack_4.png
[   9% ] _update_scan_actions | attack_5.png
[  11% ] _update_scan_actions | attack_6.png
[  13% ] _update_scan_actions | attack_1.png
[  16% ] _update_scan_actions | attack_2.png
[  18% ] _update_scan_actions | attack_3.png
[  20% ] _update_scan_actions | attack_4.png
[  23% ] _update_scan_actions | attack_5.png
[  25% ] _update_scan_actions | attack_6.png
[  27% ] _update_scan_actions | attack_1.png
[  30% ] _update_scan_actions | attack_2.png
[  32% ] _update_scan_actions | attack_3.png
[  34% ] _update_scan_actions | attack_4.png
[  37% ] _update_scan_actions | attack_5.png
[  39% ] _update_scan_actions | attack_6.png
[  41% ] _update_scan_actions | attack-frames-4x.png
[  44% ] _update_scan_actions | attack-underbody-4x.png
[  46% ] _update_scan_actions | attack_1.png
[  48% ] _update_scan_actions | attack_2.png
[  51% ] _update_scan_actions | attack_3.png
[  53% ] _update_scan_actions | attack_4.png
[  55% ] _update_scan_actions | attack_5.png
[  58% ] _update_scan_actions | attack_6.png
[  60% ] _update_scan_actions | attack-frames-4x.png
[  62% ] _update_scan_actions | attack-underbody-4x.png
[  65% ] _update_scan_actions | attack_1.png
[  67% ] _update_scan_actions | attack_2.png
[  69% ] _update_scan_actions | attack_3.png
[  72% ] _update_scan_actions | attack_4.png
[  74% ] _update_scan_actions | attack_5.png
[  76% ] _update_scan_actions | attack_6.png
[  79% ] _update_scan_actions | occlusion-contact.png
[  81% ] _update_scan_actions | attack-frames-4x.png
[  83% ] _update_scan_actions | attack_1.png
[  86% ] _update_scan_actions | attack_2.png
[  88% ] _update_scan_actions | attack_3.png
[  90% ] _update_scan_actions | attack_4.png
[  93% ] _update_scan_actions | attack_5.png
[  95% ] _update_scan_actions | attack_6.png
[ DONE ] _update_scan_actions

[   0% ] reimport | Started (Re)Importing Assets (23 steps)
[   0% ] reimport | Preparing files to reimport...
[   4% ] reimport | Preparing files to reimport...
[   8% ] reimport | Preparing files to reimport...
[  12% ] reimport | Preparing files to reimport...
[  16% ] reimport | Preparing files to reimport...
[  20% ] reimport | Preparing files to reimport...
[  25% ] reimport | Preparing files to reimport...
[  29% ] reimport | Preparing files to reimport...
[  33% ] reimport | Preparing files to reimport...
[  37% ] reimport | Preparing files to reimport...
[  41% ] reimport | Preparing files to reimport...
[  45% ] reimport | Preparing files to reimport...
[  50% ] reimport | Preparing files to reimport...
[  54% ] reimport | Preparing files to reimport...
[  58% ] reimport | Preparing files to reimport...
[  62% ] reimport | Preparing files to reimport...
[  66% ] reimport | Preparing files to reimport...
[  70% ] reimport | Preparing files to reimport...
[  75% ] reimport | Preparing files to reimport...
[  79% ] reimport | Preparing files to reimport...
[  83% ] reimport | Preparing files to reimport...
[  87% ] reimport | Preparing files to reimport...
[  91% ] reimport | Preparing files to reimport...
[   0% ] reimport | Executing pre-reimport operations...
[   0% ] reimport | occlusion-contact.png
[   4% ] reimport | attack_5.png
[   8% ] reimport | attack_4.png
[  12% ] reimport | attack_3.png
[  16% ] reimport | attack_1.png
[  20% ] reimport | attack-underbody-4x.png
[  25% ] reimport | attack-frames-4x.png
[  29% ] reimport | attack_5.png
[  33% ] reimport | attack_4.png
[  37% ] reimport | attack_3.png
[  41% ] reimport | attack_2.png
[  45% ] reimport | attack_1.png
[  50% ] reimport | attack-underbody-4x.png
[  54% ] reimport | attack-frames-4x.png
[  58% ] reimport | attack_5.png
[  62% ] reimport | attack_4.png
[  66% ] reimport | attack_3.png
[  70% ] reimport | attack_1.png
[  75% ] reimport | attack_5.png
[  79% ] reimport | attack_4.png
[  83% ] reimport | attack_3.png
[  87% ] reimport | attack_2.png
[  91% ] reimport | attack_1.png
[  95% ] reimport | Finalizing Asset Import...
[ DONE ] reimport

[   0% ] reimport | Started (Re)Importing Assets (23 steps)
[   0% ] reimport | Executing post-reimport operations...
[ DONE ] reimport

[   0% ] loading_editor_layout | Started Loading editor (5 steps)
[   0% ] loading_editor_layout | Loading editor layout...
[  16% ] loading_editor_layout | Loading docks...
[  33% ] loading_editor_layout | Reopening scenes...
[  50% ] loading_editor_layout | Loading central editor layout...
[  66% ] loading_editor_layout | Loading plugin window layout...
[  83% ] loading_editor_layout | Editor layout ready.
[ DONE ] loading_editor_layout

