Godot Engine v4.6.2.stable.mono.official.71f334935 - https://godotengine.org

[   0% ] first_scan_filesystem | Started Project initialization (5 steps)
[   0% ] first_scan_filesystem | Scanning file structure...
[  16% ] first_scan_filesystem | Loading global class names...
[  33% ] first_scan_filesystem | Verifying GDExtensions...
[  50% ] first_scan_filesystem | Creating autoload scripts...
[  66% ] first_scan_filesystem | Initializing plugins...
[  83% ] first_scan_filesystem | Starting file scan...
[ DONE ] first_scan_filesystem

[   0% ] _update_scan_actions | Started Scanning actions... (48 steps)
[   0% ] _update_scan_actions | attack_1.png
[   2% ] _update_scan_actions | attack_2.png
[   4% ] _update_scan_actions | attack_3.png
[   6% ] _update_scan_actions | attack_4.png
[   8% ] _update_scan_actions | attack_5.png
[  10% ] _update_scan_actions | attack_6.png
[  12% ] _update_scan_actions | attack_1.png
[  14% ] _update_scan_actions | attack_2.png
[  16% ] _update_scan_actions | attack_3.png
[  18% ] _update_scan_actions | attack_4.png
[  20% ] _update_scan_actions | attack_5.png
[  22% ] _update_scan_actions | attack_6.png
[  24% ] _update_scan_actions | attack_1.png
[  26% ] _update_scan_actions | attack_2.png
[  28% ] _update_scan_actions | attack_3.png
[  30% ] _update_scan_actions | attack_4.png
[  32% ] _update_scan_actions | attack_5.png
[  34% ] _update_scan_actions | attack_6.png
[  36% ] _update_scan_actions | attack-frames-4x.png
[  38% ] _update_scan_actions | attack-underbody-4x.png
[  40% ] _update_scan_actions | attack_1.png
[  42% ] _update_scan_actions | attack_2.png
[  44% ] _update_scan_actions | attack_3.png
[  46% ] _update_scan_actions | attack_4.png
[  48% ] _update_scan_actions | attack_5.png
[  51% ] _update_scan_actions | attack_6.png
[  53% ] _update_scan_actions | attack-frames-4x.png
[  55% ] _update_scan_actions | attack-underbody-4x.png
[  57% ] _update_scan_actions | attack_1.png
[  59% ] _update_scan_actions | attack_2.png
[  61% ] _update_scan_actions | attack_3.png
[  63% ] _update_scan_actions | attack_4.png
[  65% ] _update_scan_actions | attack_5.png
[  67% ] _update_scan_actions | attack_6.png
[  69% ] _update_scan_actions | attack-frames-4x.png
[  71% ] _update_scan_actions | attack_1.png
[  73% ] _update_scan_actions | attack_2.png
[  75% ] _update_scan_actions | attack_3.png
[  77% ] _update_scan_actions | attack_4.png
[  79% ] _update_scan_actions | attack_5.png
[  81% ] _update_scan_actions | attack_6.png
[  83% ] _update_scan_actions | attack-frames-4x.png
[  85% ] _update_scan_actions | attack_1.png
[  87% ] _update_scan_actions | attack_2.png
[  89% ] _update_scan_actions | attack_3.png
[  91% ] _update_scan_actions | attack_4.png
[  93% ] _update_scan_actions | attack_5.png
[  95% ] _update_scan_actions | attack_6.png
[ DONE ] _update_scan_actions

[   0% ] reimport | Started (Re)Importing Assets (18 steps)
[   0% ] reimport | Preparing files to reimport...
[   5% ] reimport | Preparing files to reimport...
[  10% ] reimport | Preparing files to reimport...
[  15% ] reimport | Preparing files to reimport...
[  21% ] reimport | Preparing files to reimport...
[  26% ] reimport | Preparing files to reimport...
[  31% ] reimport | Preparing files to reimport...
[  36% ] reimport | Preparing files to reimport...
[  42% ] reimport | Preparing files to reimport...
[  47% ] reimport | Preparing files to reimport...
[  52% ] reimport | Preparing files to reimport...
[  57% ] reimport | Preparing files to reimport...
[  63% ] reimport | Preparing files to reimport...
[  68% ] reimport | Preparing files to reimport...
[  73% ] reimport | Preparing files to reimport...
[  78% ] reimport | Preparing files to reimport...
[  84% ] reimport | Preparing files to reimport...
[  89% ] reimport | Preparing files to reimport...
[   0% ] reimport | Executing pre-reimport operations...
[   0% ] reimport | attack_5.png
[   5% ] reimport | attack_4.png
[  10% ] reimport | attack_3.png
[  15% ] reimport | attack_2.png
[  21% ] reimport | attack_1.png
[  26% ] reimport | attack-frames-4x.png
[  31% ] reimport | attack_6.png
[  36% ] reimport | attack_5.png
[  42% ] reimport | attack_4.png
[  47% ] reimport | attack_3.png
[  52% ] reimport | attack_2.png
[  57% ] reimport | attack_1.png
[  63% ] reimport | attack-frames-4x.png
[  68% ] reimport | attack_5.png
[  73% ] reimport | attack_4.png
[  78% ] reimport | attack_3.png
[  84% ] reimport | attack_2.png
[  89% ] reimport | attack_1.png
[  94% ] reimport | Finalizing Asset Import...
[ DONE ] reimport

[   0% ] reimport | Started (Re)Importing Assets (18 steps)
[   0% ] reimport | Executing post-reimport operations...
[ DONE ] reimport

[   0% ] loading_editor_layout | Started Loading editor (5 steps)
[   0% ] loading_editor_layout | Loading editor layout...
[  16% ] loading_editor_layout | Loading docks...
[  33% ] loading_editor_layout | Reopening scenes...
[  50% ] loading_editor_layout | Loading central editor layout...
[  66% ] loading_editor_layout | Loading plugin window layout...
[  83% ] loading_editor_layout | Editor layout ready.
[ DONE ] loading_editor_layout

