layer	file	x	y	cel_width	cel_height
Valley clean plate - full coverage	valley-clean-plate-full-coverage.png	0	0	640	360
Sky and dusk clouds	sky-and-dusk-clouds.png	0	0	640	360
Distant forest and ruins	distant-forest-and-ruins.png	0	0	640	360
Far mist - drift 1 to 3 pixels	far-mist-drift-1-to-3-pixels.png	0	0	640	360
Chapel tower and bridge	chapel-tower-and-bridge.png	0	0	640	360
Lantern cores - flicker overlay	lantern-cores-flicker-overlay.png	0	0	640	360
Approach paving and banks - no people	approach-paving-and-banks-no-people.png	0	0	640	360
Framing trees and empty banner support	framing-trees-and-empty-banner-support.png	0	0	640	360
Banner cloth - hand drawn folds and watchlight	banner-cloth-hand-drawn-folds-and-watchlight.png	0	0	640	360
Contact shadows	contact-shadows.png	0	0	640	360
Aldric - idle base	aldric-idle-base.png	139	257	26	52
Elara - idle base	elara-idle-base.png	177	267	26	49
Tharr - idle base	tharr-idle-base.png	212	283	33	38
Fenwick - idle base	fenwick-idle-base.png	253	281	28	34
Near valley mist - drift separately	near-valley-mist-drift-separately.png	0	0	640	360
02 Title shadow	02-title-shadow.png	0	0	640	360
03 DELVE - pixel Roman lettering	03-delve-pixel-roman-lettering.png	0	0	640	360
04 Watchlight ornament	04-watchlight-ornament.png	0	0	640	360
